model,sin_accuracy,con_accuracy,delta_accuracy,sin_balanced_accuracy,con_balanced_accuracy,delta_balanced_accuracy,sin_f1,con_f1,delta_f1,sin_roc_auc,con_roc_auc,delta_roc_auc,sin_log_loss,con_log_loss,delta_log_loss,sin_brier,con_brier,delta_brier
LogisticRegression,0.6918238993710691,0.689727463312369,-0.002096436058700135,0.5,0.4984848484848485,-0.001515151515151525,0.8178438661710037,0.8163771712158809,-0.0014666949551227493,0.8422593279736137,0.8428571428571429,0.0005978148835291686,1.288480480307049,1.3207289509720364,0.03224847066498726,0.2849227450350938,0.2839101884639435,-0.0010125565711502915
RandomForest,0.6918238993710691,0.6918238993710691,0.0,0.5,0.5,0.0,0.8178438661710037,0.8178438661710037,0.0,0.8133168418882705,0.6423211708925994,-0.17099567099567103,0.5630046404758046,0.5982181626879105,0.03521352221210594,0.19297819316179646,0.2056714447864538,0.012693251624657342
XGBoost,0.7148846960167715,0.689727463312369,-0.02515723270440251,0.5562770562770563,0.5343228200371057,-0.02195423623995052,0.8247422680412371,0.8072916666666666,-0.01745060137457044,0.8454751597608741,0.8432694289837147,-0.0022057307771593537,0.6283351046372485,0.6384631551817838,0.01012805054453525,0.20724328837172645,0.2135503995674958,0.006307111195769349
LSTM,0.6331236897274634,0.5765199161425576,-0.05660377358490576,0.5424551638837354,0.5920841063698207,0.04962894248608529,0.7460087082728593,0.6431095406360424,-0.10289916763681684,0.6347557204700062,0.6580498866213151,0.02329416615130897,0.6714535716096779,0.6751473592028432,0.0036937875931652986,0.23918719292221877,0.24105493550349458,0.0018677425812758108
ENSEMBLE,0.6918238993710691,0.6918238993710691,0.0,0.5,0.5,0.0,0.8178438661710037,0.8178438661710037,0.0,0.8779014636157493,0.8256854256854257,-0.05221603793032359,0.5811075568381038,0.5868218292248095,0.005714272386705743,0.20101139807487928,0.20222165290022004,0.001210254825340762
