accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,phase_offset,n_observations,n_positive,n_negative
0.625,0.5,0.625,1.0,0.7692307692307693,0.7333333333333334,0.6993878737114272,0.25055742361126754,0.625,0,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,0.8,0.6737464291553372,0.24123721561336808,0.625,1,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,1.0,0.6517704235717812,0.23350548071872185,0.625,2,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,0.8666666666666667,0.6516887245355896,0.2329961019262824,0.625,3,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,1.0,0.6395759143318387,0.22890276802641596,0.625,4,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,1.0,0.6368228405084104,0.22744016720476007,0.625,5,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,1.0,0.6607289478667306,0.2371342016096183,0.625,6,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,1.0,0.6398563867872532,0.2291751985671191,0.625,7,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,0.9333333333333333,0.6591855383656762,0.23658488225926208,0.625,8,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,1.0,0.6388350435875213,0.22883144914527476,0.625,9,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,1.0,0.5977208877946294,0.21261010301832375,0.625,10,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,1.0,0.6424287283137007,0.23047565787612603,0.625,11,8,5,3
0.625,0.5,0.625,1.0,0.7692307692307693,1.0,0.623121120318173,0.2221504537491219,0.625,12,8,5,3
0.75,0.5,0.75,1.0,0.8571428571428571,0.8333333333333334,0.5107752839978571,0.17016834681904422,0.75,13,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,0.8333333333333334,0.5068760313613535,0.16931461293396402,0.75,14,8,6,2
0.875,0.5,0.875,1.0,0.9333333333333333,0.7142857142857143,0.3864313865166615,0.11366501394582011,0.875,15,8,7,1
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.45940683822802086,0.15000384123718993,0.75,16,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.46964652205516977,0.1540430190195451,0.75,17,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.47094028943888594,0.15512589993077652,0.75,18,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,0.9166666666666667,0.4796184999762444,0.15812691904972592,0.75,19,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.46727779719229146,0.15358350215435174,0.75,20,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.47715105448395034,0.15692319356717255,0.75,21,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.47367953704373283,0.15498700743691224,0.75,22,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.4650539941308568,0.15138380783239458,0.75,23,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.46255103068534775,0.1501994826245442,0.75,24,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.4686104164077507,0.15221149654394361,0.75,25,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,1.0,0.47853241342328956,0.15571666116747052,0.75,26,8,6,2
