variant,model,n_features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate
SIN_SENTIMIENTO,LogisticRegression,58,0.4662576687116564,0.4540610599078341,0.5186440677966102,0.5625,0.5396825396825397,0.4490885063702901,0.7421042478912008,0.27224264848698077,0.556237218813906
SIN_SENTIMIENTO,RandomForest,58,0.46421267893660534,0.46387062889672,0.5204918032786885,0.46691176470588236,0.49224806201550386,0.44824139333152613,0.7039713871546365,0.25532607923888084,0.556237218813906
SIN_SENTIMIENTO,XGBoost,58,0.48057259713701433,0.481371984277582,0.5375,0.4742647058823529,0.50390625,0.45396787747357004,0.7381053962452785,0.2705827051254595,0.556237218813906
SIN_SENTIMIENTO,LSTM,58,0.46830265848670755,0.5099451070750881,0.59375,0.13970588235294118,0.2261904761904762,0.5061839251829764,0.7023172838442837,0.25456145236644934,0.556237218813906
SIN_SENTIMIENTO,ENSEMBLE,58,0.4601226993865031,0.4541373000813228,0.5149253731343284,0.5073529411764706,0.5111111111111111,0.43062144212523723,0.71757414912074,0.2618627568599449,0.556237218813906
CON_SENTIMIENTO,LogisticRegression,110,0.47648261758691207,0.4618544998644619,0.5261437908496732,0.5919117647058824,0.5570934256055363,0.44232854432095425,0.7503687360747909,0.2760237600588563,0.556237218813906
CON_SENTIMIENTO,RandomForest,110,0.49284253578732107,0.4854127134724858,0.5434782608695652,0.5514705882352942,0.5474452554744526,0.47280767145567903,0.6993248302725773,0.2530365967418766,0.556237218813906
CON_SENTIMIENTO,XGBoost,110,0.47443762781186094,0.47212998102466797,0.5296442687747036,0.49264705882352944,0.5104761904761905,0.45698359989156956,0.7376665336826322,0.27027761740447964,0.556237218813906
CON_SENTIMIENTO,LSTM,110,0.46830265848670755,0.4978313906207644,0.5517241379310345,0.23529411764705882,0.32989690721649484,0.4973400650582813,0.7026651827935189,0.25472289154795685,0.556237218813906
CON_SENTIMIENTO,ENSEMBLE,110,0.4601226993865031,0.4522736513960423,0.5144927536231884,0.5220588235294118,0.5182481751824818,0.4357380048793711,0.7125728845783618,0.2595336459334962,0.556237218813906
