variant,model,n_features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate
SIN_SENTIMIENTO,LogisticRegression,58,0.6983471074380165,0.5727272727272728,0.7180094786729858,0.9181818181818182,0.8058510638297872,0.7417355371900826,0.686726178301715,0.19865119605856796,0.6818181818181818
SIN_SENTIMIENTO,RandomForest,58,0.6487603305785123,0.6367965367965368,0.7836879432624113,0.6696969696969697,0.7222222222222222,0.6184769775678867,0.6458568492440836,0.22849363199753867,0.6818181818181818
SIN_SENTIMIENTO,XGBoost,58,0.5867768595041323,0.6103896103896104,0.782608695652174,0.5454545454545454,0.6428571428571429,0.6464580873671784,0.7859887541073003,0.27814933205807,0.6818181818181818
SIN_SENTIMIENTO,LSTM,58,0.41115702479338845,0.5647186147186147,0.9591836734693877,0.14242424242424243,0.24802110817941952,0.6839138134592682,0.6995775514325129,0.25321102972897674,0.6818181818181818
SIN_SENTIMIENTO,ENSEMBLE,58,0.6714876033057852,0.6170995670995671,0.755223880597015,0.7666666666666667,0.7609022556390977,0.7107438016528925,0.5718013333234139,0.19572678778297467,0.6818181818181818
CON_SENTIMIENTO,LogisticRegression,110,0.6714876033057852,0.5686147186147186,0.7186700767263428,0.8515151515151516,0.7794729542302358,0.7040535222353405,0.8235410244126782,0.21427345902347014,0.6818181818181818
CON_SENTIMIENTO,RandomForest,110,0.6962809917355371,0.5452380952380952,0.7028824833702882,0.9606060606060606,0.8117797695262484,0.5967926013380559,0.6242325940195359,0.21728318119779558,0.6818181818181818
CON_SENTIMIENTO,XGBoost,110,0.5516528925619835,0.575974025974026,0.7533632286995515,0.509090909090909,0.6075949367088608,0.6817197953561589,0.7492830531764372,0.27051898469417146,0.6818181818181818
CON_SENTIMIENTO,LSTM,110,0.4669421487603306,0.5017316017316017,0.6836734693877551,0.40606060606060607,0.5095057034220533,0.4690672963400236,0.7053886017667236,0.25610287403744353,0.6818181818181818
CON_SENTIMIENTO,ENSEMBLE,110,0.6756198347107438,0.6114718614718615,0.7492795389048992,0.7878787878787878,0.7680945347119645,0.7050373868555686,0.58281668934934,0.19893668053979033,0.6818181818181818
