feature,coefficient,abs_coefficient,direction,rank
ma_20_vs_50,0.1699539854272592,0.1699539854272592,AUMENTA_P_SUBIDA,76
sentiment_available_45d,-0.1677589926342153,0.1677589926342153,REDUCE_P_SUBIDA,77
ext_sp500_return_5d,-0.15506723571958847,0.15506723571958847,REDUCE_P_SUBIDA,78
volume_vs_ma20,0.14388924787984486,0.14388924787984486,AUMENTA_P_SUBIDA,79
sentiment_mean_1d,-0.13679449933696983,0.13679449933696983,REDUCE_P_SUBIDA,80
ext_us2y_change_1d,0.12652613776800764,0.12652613776800764,AUMENTA_P_SUBIDA,81
ext_us10y_change_1d,-0.12434121368807603,0.12434121368807603,REDUCE_P_SUBIDA,82
return_10d,0.10610566832477897,0.10610566832477897,AUMENTA_P_SUBIDA,83
return_2d,-0.10576160797100939,0.10576160797100939,REDUCE_P_SUBIDA,84
news_count_60d,0.10529055255024596,0.10529055255024596,AUMENTA_P_SUBIDA,85
return_20d,-0.09767738249764928,0.09767738249764928,REDUCE_P_SUBIDA,86
sentiment_negative_ratio_1d,-0.09037745143197834,0.09037745143197834,REDUCE_P_SUBIDA,87
close_vs_ma_20,-0.08384449668480742,0.08384449668480742,REDUCE_P_SUBIDA,88
ext_vix_change_1d,0.0794606207391961,0.0794606207391961,AUMENTA_P_SUBIDA,89
sentiment_negative_ratio_15d,0.07837252814075718,0.07837252814075718,AUMENTA_P_SUBIDA,90
sentiment_available_20d,0.07676385799498157,0.07676385799498157,AUMENTA_P_SUBIDA,91
ext_eurusd_return_1d,-0.0764981902225576,0.0764981902225576,REDUCE_P_SUBIDA,92
volatility_30d,-0.06760983450945729,0.06760983450945729,REDUCE_P_SUBIDA,93
sentiment_available_30d,0.06499428979158794,0.06499428979158794,AUMENTA_P_SUBIDA,94
sentiment_positive_ratio_1d,0.056510072098059444,0.056510072098059444,AUMENTA_P_SUBIDA,95
news_count_10d,0.05382458783924362,0.05382458783924362,AUMENTA_P_SUBIDA,96
day_of_week,0.04773331414995117,0.04773331414995117,AUMENTA_P_SUBIDA,97
return_1d,-0.037625126730620816,0.037625126730620816,REDUCE_P_SUBIDA,98
intraday_return,-0.03161679634067146,0.03161679634067146,REDUCE_P_SUBIDA,99
sentiment_positive_ratio_5d,0.030137031733633503,0.030137031733633503,AUMENTA_P_SUBIDA,100
sentiment_negative_ratio_5d,-0.025702456937007595,0.025702456937007595,REDUCE_P_SUBIDA,101
sentiment_positive_ratio_20d,-0.023821074057611302,0.023821074057611302,REDUCE_P_SUBIDA,102
return_3d,-0.015910702666186903,0.015910702666186903,REDUCE_P_SUBIDA,103
ext_eurusd_return_5d,0.015203804654994752,0.015203804654994752,AUMENTA_P_SUBIDA,104
gap_return,-0.015108312164605387,0.015108312164605387,REDUCE_P_SUBIDA,105
close_vs_ma_50,-0.011170614475187968,0.011170614475187968,REDUCE_P_SUBIDA,106
volatility_5d,-0.010424117170961816,0.010424117170961816,REDUCE_P_SUBIDA,107
return_5d,-0.007027094417377401,0.007027094417377401,REDUCE_P_SUBIDA,108
news_count_1d,-0.0036425744356002906,0.0036425744356002906,REDUCE_P_SUBIDA,109
sentiment_negative_ratio_10d,-0.0006302204671321743,0.0006302204671321743,REDUCE_P_SUBIDA,110
