accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,phase_offset,n_observations,n_positive,n_negative
0.75,0.5,0.75,1.0,0.8571428571428571,0.8333333333333334,0.48646547226262377,0.15718220222373794,0.75,0,8,6,2
0.875,0.5,0.875,1.0,0.9333333333333333,0.8571428571428571,0.4477533829247317,0.13795178003027442,0.875,1,8,7,1
0.75,0.5,0.75,1.0,0.8571428571428571,0.8333333333333334,0.4687263850500489,0.1492560429696897,0.75,2,8,6,2
0.75,0.5,0.75,1.0,0.8571428571428571,0.75,0.48818845871571653,0.15665375235927811,0.75,3,8,6,2
0.875,0.5,0.875,1.0,0.9333333333333333,0.7142857142857143,0.4717969631503012,0.1479884039230135,0.875,4,8,7,1
0.625,0.5,0.625,1.0,0.7692307692307693,0.6000000000000001,0.6241515987033286,0.21728792674699227,0.625,5,8,5,3
0.75,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.47761044098145644,0.15176807978788853,0.875,6,8,7,1
0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5,0.6284319505212251,0.2183832785361418,0.75,7,8,6,2
0.5,0.4,0.5714285714285714,0.8,0.6666666666666666,0.5333333333333334,0.6784183586746432,0.24311756559982461,0.625,8,8,5,3
0.5,0.4,0.5714285714285714,0.8,0.6666666666666666,0.5333333333333334,0.6878986892823709,0.24750234593040732,0.625,9,8,5,3
0.5,0.4,0.5714285714285714,0.8,0.6666666666666666,0.6,0.6982560946164318,0.25320766051728383,0.625,10,8,5,3
0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8333333333333334,0.5214067925413775,0.17519991395004733,0.75,11,8,6,2
0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8333333333333334,0.5406712488793055,0.18371385121922418,0.75,12,8,6,2
0.75,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.5062818007379744,0.16607338315849624,0.875,13,8,7,1
0.75,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.49502819968618206,0.1596468555838339,0.875,14,8,7,1
