variant,model,n_features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate
SIN_SENTIMIENTO,LogisticRegression,58,0.5758196721311475,0.5524352477477478,0.6468646864686468,0.6621621621621622,0.654424040066778,0.5648402308558558,0.73416975272825,0.257468448634072,0.6065573770491803
SIN_SENTIMIENTO,RandomForest,58,0.5389344262295082,0.48909065315315314,0.5994397759103641,0.722972972972973,0.655436447166922,0.5318658502252251,0.6779591938341583,0.24258706098143376,0.6065573770491803
SIN_SENTIMIENTO,XGBoost,58,0.5122950819672131,0.5009853603603603,0.6074074074074074,0.5540540540540541,0.5795053003533569,0.5019003378378379,0.7275789172951344,0.265856751123144,0.6065573770491803
SIN_SENTIMIENTO,LSTM,58,0.5020491803278688,0.46875,0.583596214511041,0.625,0.6035889070146819,0.49028716216216217,0.6920654508448726,0.24945927849999833,0.6065573770491803
SIN_SENTIMIENTO,ENSEMBLE,58,0.5860655737704918,0.5553913288288288,0.646875,0.6993243243243243,0.672077922077922,0.5373381193693694,0.6842692182690747,0.24555795438325134,0.6065573770491803
CON_SENTIMIENTO,LogisticRegression,110,0.5491803278688525,0.5231559684684685,0.6241830065359477,0.6452702702702703,0.6345514950166113,0.5461359797297297,0.7468999331666514,0.2649491875371662,0.6065573770491803
CON_SENTIMIENTO,RandomForest,110,0.5881147540983607,0.5406109234234234,0.6330532212885154,0.7635135135135135,0.6921898928024502,0.5349802927927928,0.6772989899232293,0.24215259531592892,0.6065573770491803
CON_SENTIMIENTO,XGBoost,110,0.5081967213114754,0.4939470720720721,0.6014492753623188,0.5608108108108109,0.5804195804195804,0.49345439189189183,0.720296928146297,0.26199281549400993,0.6065573770491803
CON_SENTIMIENTO,LSTM,110,0.5368852459016393,0.5304054054054055,0.6335877862595419,0.5608108108108109,0.5949820788530465,0.5464351069819819,0.6910704842840861,0.2489682791121291,0.6065573770491803
CON_SENTIMIENTO,ENSEMBLE,110,0.5778688524590164,0.5468046171171171,0.640625,0.6925675675675675,0.6655844155844156,0.5317250844594594,0.6881896769715194,0.24734663392963796,0.6065573770491803
