accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,phase_offset,n_observations,n_positive,n_negative
0.6020408163265306,0.569534984789222,0.6515151515151515,0.7288135593220338,0.688,0.5467188179052587,0.6873472804040622,0.2468433780048128,0.6020408163265306,0,98,59,39
0.5816326530612245,0.5612068965517242,0.639344262295082,0.6724137931034483,0.6554621848739496,0.4797413793103448,0.7059514969425958,0.25578849059540504,0.5918367346938775,1,98,58,40
0.5714285714285714,0.540948275862069,0.6212121212121212,0.7068965517241379,0.6612903225806451,0.5538793103448277,0.6878508224826463,0.2470257632115611,0.5918367346938775,2,98,58,40
0.5567010309278351,0.5185102586975915,0.6212121212121212,0.6949152542372882,0.656,0.5749330954504906,0.6752777826878305,0.24134986951278092,0.6082474226804123,3,97,59,38
0.5773195876288659,0.5449308755760368,0.6721311475409836,0.6612903225806451,0.6666666666666666,0.5230414746543779,0.6843500686403106,0.2456471350244252,0.6391752577319587,4,97,62,35
