accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,variant,model,n_features,strategy_total_return,strategy_sharpe,strategy_max_drawdown,market_exposure
0.5276073619631901,0.49632705206004474,0.6168831168831169,0.6270627062706271,0.6219312602291326,0.5338372546932113,0.6979896940428968,0.2512482460213773,0.6196319018404908,TECHNICAL,LogisticRegression,42,,,,
0.5828220858895705,0.5211593740019163,0.6327077747989276,0.7788778877887789,0.6982248520710059,0.5454593846481423,0.6816377480993617,0.24412252337091045,0.6196319018404908,TECHNICAL,RandomForest,42,,,,
0.558282208588957,0.5096614500159693,0.6260869565217392,0.7128712871287128,0.6666666666666666,0.5419461300968808,0.6977623980398556,0.25059407077816137,0.6196319018404908,TECHNICAL,XGBoost,42,,,,
0.5705521472392638,0.5143724049824336,0.628808864265928,0.7491749174917491,0.6837349397590361,0.539923347173427,0.6801797171048872,0.24373967052536288,0.6196319018404908,TECHNICAL,CLASSICAL_ENSEMBLE,42,0.0784646718154769,0.5089543326454082,-0.1296087065302607,0.24130879345603273
0.5807770961145194,0.4914830192696689,0.6150234741784038,0.8646864686468647,0.7187928669410151,0.5767060577025445,0.6796346748953588,0.24045045998867912,0.6196319018404908,TECHNICAL_MACRO,LogisticRegression,58,,,,
0.5603271983640081,0.5040455658469072,0.6222222222222222,0.7392739273927392,0.6757164404223228,0.5317434969303383,0.6860617182673885,0.24640885356723344,0.6196319018404908,TECHNICAL_MACRO,RandomForest,58,,,,
0.591002044989775,0.5225699989353774,0.6330749354005168,0.8085808580858086,0.7101449275362319,0.5550764753894744,0.6929560512190835,0.2474156821423863,0.6196319018404908,TECHNICAL_MACRO,XGBoost,58,,,,
0.5991820040899796,0.5177525817097839,0.6295399515738499,0.858085808580858,0.7262569832402235,0.5654210582348558,0.6678275446703221,0.23764715484937618,0.6196319018404908,TECHNICAL_MACRO,CLASSICAL_ENSEMBLE,58,0.1801386551234352,0.8751041743633683,-0.1199117730972995,0.5296523517382413
0.591002044989775,0.5049238794847227,0.6223277909738717,0.8646864686468647,0.7237569060773481,0.5731040846020086,0.7790880943882973,0.2686037191790935,0.6196319018404908,TECHNICAL_MACRO_NLP,LogisticRegression,110,,,,
0.5337423312883436,0.46909932928776743,0.6005361930294906,0.7392739273927392,0.6627218934911243,0.4958124844742539,0.694703682713712,0.2505089148006894,0.6196319018404908,TECHNICAL_MACRO_NLP,RandomForest,110,,,,
0.5521472392638037,0.49848291280740975,0.6186440677966102,0.7227722772277227,0.6666666666666666,0.502590581638809,0.751866220731891,0.2718678873123622,0.6196319018404908,TECHNICAL_MACRO_NLP,XGBoost,110,,,,
0.5644171779141104,0.48866176940274675,0.6130653266331658,0.8052805280528053,0.6961483594864479,0.5376698960218602,0.702150527517665,0.2522232519127559,0.6196319018404908,TECHNICAL_MACRO_NLP,CLASSICAL_ENSEMBLE,110,0.2133485306282954,0.8394480446127461,-0.16105802081630738,0.689161554192229
