model,sin_accuracy,con_accuracy,delta_accuracy,sin_balanced_accuracy,con_balanced_accuracy,delta_balanced_accuracy,sin_f1,con_f1,delta_f1,sin_roc_auc,con_roc_auc,delta_roc_auc,sin_log_loss,con_log_loss,delta_log_loss,sin_brier,con_brier,delta_brier
LogisticRegression,0.6810699588477366,0.7119341563786008,0.030864197530864224,0.5727437550362611,0.6456083803384367,0.07286462530217563,0.7873799725651578,0.7976878612716763,0.010307888706518553,0.7141619661563255,0.6952256244963739,-0.018936341659951617,0.5821012298811464,0.7039851869669094,0.12188395708576294,0.1926956645226827,0.20760533350412633,0.014909668981443636
RandomForest,0.5987654320987654,0.6790123456790124,0.08024691358024694,0.5530016116035454,0.567365028203062,0.014363416599516565,0.699537750385208,0.7868852459016393,0.08734749551643128,0.5266921837228042,0.6240934730056407,0.09740128928283642,0.6714353992963682,0.6278757498960216,-0.04355964940034662,0.24006035281784727,0.2203861624196559,-0.019674190398191377
XGBoost,0.5473251028806584,0.6111111111111112,0.06378600823045277,0.565088638195004,0.6009065269943594,0.035817888799355435,0.6167247386759582,0.6926829268292682,0.07595818815331001,0.586583400483481,0.6609589041095891,0.07437550362610812,0.7807682077424624,0.6461775329705767,-0.1345906747718857,0.28149095859511075,0.22819439346067427,-0.05329656513443648
LSTM,0.4176954732510288,0.5802469135802469,0.16255144032921814,0.5564665592264303,0.5417203867848509,-0.014746172441579386,0.3341176470588235,0.6802507836990596,0.34613313664023604,0.5860596293311845,0.5848307816277196,-0.0012288477034648748,0.7025323850628841,0.6636202206313352,-0.03891216443154888,0.25480779780790014,0.23551892869853217,-0.019288869109367973
ENSEMBLE,0.6646090534979424,0.7139917695473251,0.04938271604938271,0.5961522965350524,0.6470789685737308,0.0509266720386784,0.762043795620438,0.7994227994227994,0.037379003802361366,0.65848106365834,0.6936140209508461,0.035132957292506095,0.6035592562696517,0.5885474419652764,-0.01501181430437526,0.20817686014752695,0.20056509244568846,-0.0076117677018384955
