accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,phase_offset,n_observations,n_positive,n_negative
0.6363636363636364,0.5454545454545454,0.6923076923076923,0.8181818181818182,0.75,0.6198347107438017,0.6627380191444114,0.23458200527864873,0.6666666666666666,0,33,22,11
0.6666666666666666,0.5630434782608695,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.717391304347826,0.6134561008947407,0.21361058976999067,0.696969696969697,1,33,23,10
0.6666666666666666,0.5630434782608695,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.6869565217391304,0.6110926941202331,0.212506539732765,0.696969696969697,2,33,23,10
0.5757575757575758,0.5059523809523809,0.64,0.7619047619047619,0.6956521739130435,0.611111111111111,0.668992478833198,0.23844824944678122,0.6363636363636364,3,33,21,12
0.5757575757575758,0.5153846153846154,0.6153846153846154,0.8,0.6956521739130435,0.5153846153846153,0.7205611353563823,0.26059450439532045,0.6060606060606061,4,33,20,13
0.5757575757575758,0.5059523809523809,0.64,0.7619047619047619,0.6956521739130435,0.48015873015873023,0.7402426693953943,0.26730928537770354,0.6363636363636364,5,33,21,12
0.5757575757575758,0.5,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.45454545454545453,0.7240711480018903,0.261369984656539,0.6666666666666666,6,33,22,11
0.6875,0.6135265700483092,0.782608695652174,0.782608695652174,0.782608695652174,0.681159420289855,0.5629586726871043,0.19362497110113078,0.71875,7,32,23,9
0.6875,0.6135265700483092,0.782608695652174,0.782608695652174,0.782608695652174,0.6618357487922706,0.5967382723151775,0.2077927702772992,0.71875,8,32,23,9
0.5625,0.5,0.625,0.75,0.6818181818181818,0.5708333333333333,0.6987914893903561,0.25243867555092975,0.625,9,32,20,12
0.75,0.6545454545454545,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.7454545454545454,0.5677834124806527,0.1906318046184272,0.6875,10,32,22,10
0.75,0.6545454545454545,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.7818181818181819,0.5451876320371636,0.18026363910379123,0.6875,11,32,22,10
0.75,0.6796536796536796,0.76,0.9047619047619048,0.8260869565217391,0.7792207792207793,0.5780332216941007,0.1943013294572234,0.65625,12,32,21,11
0.71875,0.6045454545454545,0.7407407407407407,0.9090909090909091,0.8163265306122449,0.7181818181818183,0.5799984269224108,0.19558538646506124,0.6875,13,32,22,10
0.625,0.5090909090909091,0.6923076923076923,0.8181818181818182,0.75,0.5727272727272728,0.6682558957097693,0.2379810045598857,0.6875,14,32,22,10
