feature,coefficient,abs_coefficient,direction,rank
ext_fedfunds_level,2.2203433512962576,2.2203433512962576,AUMENTA_P_SUBIDA,1
news_count_30d,1.178270483635236,1.178270483635236,AUMENTA_P_SUBIDA,2
close_vs_ma_60,1.084578341761208,1.084578341761208,AUMENTA_P_SUBIDA,3
sentiment_positive_ratio_30d,-1.070175896437895,1.070175896437895,REDUCE_P_SUBIDA,4
sentiment_mean_45d,0.9881187952418248,0.9881187952418248,AUMENTA_P_SUBIDA,5
sentiment_mean_30d,0.9620310742113142,0.9620310742113142,AUMENTA_P_SUBIDA,6
sentiment_negative_ratio_45d,0.9334327797506814,0.9334327797506814,AUMENTA_P_SUBIDA,7
ext_us2y_level,-0.9219179804130847,0.9219179804130847,REDUCE_P_SUBIDA,8
ext_yield_curve_10y2y,0.8932675637338651,0.8932675637338651,AUMENTA_P_SUBIDA,9
sentiment_negative_ratio_30d,0.8830898200948611,0.8830898200948611,AUMENTA_P_SUBIDA,10
ma_20_vs_50,-0.8765209875947139,0.8765209875947139,REDUCE_P_SUBIDA,11
close_vs_ma_15,-0.8578154481667128,0.8578154481667128,REDUCE_P_SUBIDA,12
ext_us10y_level,-0.8327280287081985,0.8327280287081985,REDUCE_P_SUBIDA,13
sentiment_positive_ratio_45d,-0.7695750418790597,0.7695750418790597,REDUCE_P_SUBIDA,14
sentiment_negative_ratio_20d,0.6853417904167218,0.6853417904167218,AUMENTA_P_SUBIDA,15
close_vs_ma_100,-0.666363390070452,0.666363390070452,REDUCE_P_SUBIDA,16
volatility_60d,0.5742748602517411,0.5742748602517411,AUMENTA_P_SUBIDA,17
rsi_28,0.5623498113265569,0.5623498113265569,AUMENTA_P_SUBIDA,18
news_count_20d,0.5459756134042573,0.5459756134042573,AUMENTA_P_SUBIDA,19
close_vs_ma_20,0.49055792499414275,0.49055792499414275,AUMENTA_P_SUBIDA,20
sentiment_positive_ratio_60d,0.48560359727858277,0.48560359727858277,AUMENTA_P_SUBIDA,21
return_45d,0.48328933983445566,0.48328933983445566,AUMENTA_P_SUBIDA,22
news_count_60d,-0.4817455067294419,0.4817455067294419,REDUCE_P_SUBIDA,23
close_vs_ma_50,0.46882743207675615,0.46882743207675615,AUMENTA_P_SUBIDA,24
rsi_14,-0.46694102820831423,0.46694102820831423,REDUCE_P_SUBIDA,25
close_vs_ma_200,-0.4652201131567226,0.4652201131567226,REDUCE_P_SUBIDA,26
macd_diff,0.4615532784534654,0.4615532784534654,AUMENTA_P_SUBIDA,27
news_count_45d,0.4418521934245298,0.4418521934245298,AUMENTA_P_SUBIDA,28
sentiment_momentum_10_30,-0.4251566812006901,0.4251566812006901,REDUCE_P_SUBIDA,29
news_count_log_30d,-0.37629789403177566,0.37629789403177566,REDUCE_P_SUBIDA,30
sentiment_momentum_15_45,-0.3635193239079575,0.3635193239079575,REDUCE_P_SUBIDA,31
news_count_10d,-0.3615237269560334,0.3615237269560334,REDUCE_P_SUBIDA,32
sentiment_negative_ratio_5d,-0.3317702555432597,0.3317702555432597,REDUCE_P_SUBIDA,33
sentiment_negative_ratio_60d,0.32637450127960815,0.32637450127960815,AUMENTA_P_SUBIDA,34
ext_vix_change_5d,-0.3183599089496792,0.3183599089496792,REDUCE_P_SUBIDA,35
sentiment_positive_ratio_15d,0.3142212789474136,0.3142212789474136,AUMENTA_P_SUBIDA,36
volatility_20d,-0.3117129999590605,0.3117129999590605,REDUCE_P_SUBIDA,37
sentiment_negative_ratio_15d,-0.2996899136625818,0.2996899136625818,REDUCE_P_SUBIDA,38
sentiment_mean_15d,0.29034724048504984,0.29034724048504984,AUMENTA_P_SUBIDA,39
month,-0.27770508171825287,0.27770508171825287,REDUCE_P_SUBIDA,40
bollinger_position,-0.26757072938888987,0.26757072938888987,REDUCE_P_SUBIDA,41
sentiment_momentum_5_20,-0.24554422318976507,0.24554422318976507,REDUCE_P_SUBIDA,42
news_count_log_20d,-0.24498611604192966,0.24498611604192966,REDUCE_P_SUBIDA,43
ext_sp500_return_5d,-0.2371672121385035,0.2371672121385035,REDUCE_P_SUBIDA,44
sentiment_mean_20d,0.22899759190548472,0.22899759190548472,AUMENTA_P_SUBIDA,45
sentiment_available_15d,0.217947659664207,0.217947659664207,AUMENTA_P_SUBIDA,46
news_count_5d,0.2049896882354993,0.2049896882354993,AUMENTA_P_SUBIDA,47
sentiment_mean_60d,0.20055716332010273,0.20055716332010273,AUMENTA_P_SUBIDA,48
news_count_log_15d,-0.1983096146611127,0.1983096146611127,REDUCE_P_SUBIDA,49
sentiment_mean_10d,0.19775235861382479,0.19775235861382479,AUMENTA_P_SUBIDA,50
close_vs_ma_10,-0.1936386914819389,0.1936386914819389,REDUCE_P_SUBIDA,51
sentiment_positive_ratio_5d,0.19326808133648393,0.19326808133648393,AUMENTA_P_SUBIDA,52
return_20d,-0.1922544919436321,0.1922544919436321,REDUCE_P_SUBIDA,53
return_10d,-0.18721093973676042,0.18721093973676042,REDUCE_P_SUBIDA,54
return_60d,-0.17941228727963654,0.17941228727963654,REDUCE_P_SUBIDA,55
close_vs_ma_30,-0.17691552692941237,0.17691552692941237,REDUCE_P_SUBIDA,56
news_count_log_45d,-0.17348657796108885,0.17348657796108885,REDUCE_P_SUBIDA,57
volatility_30d,0.16959026359982707,0.16959026359982707,AUMENTA_P_SUBIDA,58
return_15d,-0.1591330900309018,0.1591330900309018,REDUCE_P_SUBIDA,59
news_count_log_5d,-0.1527700026226196,0.1527700026226196,REDUCE_P_SUBIDA,60
sentiment_available_5d,0.14896479564661114,0.14896479564661114,AUMENTA_P_SUBIDA,61
news_count_log_60d,-0.14408734424048908,0.14408734424048908,REDUCE_P_SUBIDA,62
return_1d,0.1316430892593063,0.1316430892593063,AUMENTA_P_SUBIDA,63
day_of_week,0.13154875914255584,0.13154875914255584,AUMENTA_P_SUBIDA,64
sentiment_momentum_20_60,0.12955838590675525,0.12955838590675525,AUMENTA_P_SUBIDA,65
gap_return,-0.12916644441758227,0.12916644441758227,REDUCE_P_SUBIDA,66
ext_vix_change_1d,0.12888694035092357,0.12888694035092357,AUMENTA_P_SUBIDA,67
sentiment_negative_ratio_1d,-0.12214997848662672,0.12214997848662672,REDUCE_P_SUBIDA,68
ext_nasdaq100_return_1d,0.11574820594783182,0.11574820594783182,AUMENTA_P_SUBIDA,69
sentiment_mean_1d,-0.11547487594432944,0.11547487594432944,REDUCE_P_SUBIDA,70
