variant,model,n_features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate
SIN_SENTIMIENTO,LogisticRegression,58,0.5807770961145194,0.4914830192696689,0.6150234741784038,0.8646864686468647,0.7187928669410151,0.5767060577025445,0.6796346748953588,0.24045045998867912,0.6196319018404908
SIN_SENTIMIENTO,RandomForest,58,0.5603271983640081,0.5040455658469072,0.6222222222222222,0.7392739273927392,0.6757164404223228,0.5317434969303383,0.6860617182673885,0.24640885356723344,0.6196319018404908
SIN_SENTIMIENTO,XGBoost,58,0.591002044989775,0.5225699989353774,0.6330749354005168,0.8085808580858086,0.7101449275362319,0.5550764753894744,0.6929560512190835,0.2474156821423863,0.6196319018404908
SIN_SENTIMIENTO,LSTM,58,0.4458077709611452,0.4583466411157245,0.5747663551401869,0.40594059405940597,0.4758220502901354,0.4605025018630896,0.6990374131506825,0.25293257899810845,0.6196319018404908
SIN_SENTIMIENTO,ENSEMBLE,58,0.5991820040899796,0.5177525817097839,0.6295399515738499,0.858085808580858,0.7262569832402235,0.5647467972603712,0.6675445225279866,0.23748863008001017,0.6196319018404908
CON_SENTIMIENTO,LogisticRegression,110,0.591002044989775,0.5049238794847227,0.6223277909738717,0.8646864686468647,0.7237569060773481,0.5731040846020086,0.7790880943882973,0.2686037191790935,0.6196319018404908
CON_SENTIMIENTO,RandomForest,110,0.5337423312883436,0.46909932928776743,0.6005361930294906,0.7392739273927392,0.6627218934911243,0.4958124844742539,0.694703682713712,0.2505089148006894,0.6196319018404908
CON_SENTIMIENTO,XGBoost,110,0.5521472392638037,0.49848291280740975,0.6186440677966102,0.7227722772277227,0.6666666666666666,0.502590581638809,0.751866220731891,0.2718678873123622,0.6196319018404908
CON_SENTIMIENTO,LSTM,110,0.4376278118609407,0.4465559459171724,0.5636363636363636,0.40924092409240925,0.47418738049713194,0.47164555165193933,0.7356282317865337,0.27009972441301455,0.6196319018404908
CON_SENTIMIENTO,ENSEMBLE,110,0.5705521472392638,0.49776429255828814,0.6183206106870229,0.801980198019802,0.6982758620689655,0.5222328684481351,0.6960692718597061,0.25046327967289883,0.6196319018404908
