feature,coefficient,abs_coefficient,direction,rank
ext_eurusd_return_1d,0.03879511834353625,0.03879511834353625,AUMENTA_P_SUBIDA,83
close_vs_ma_50,0.038240026285874036,0.038240026285874036,AUMENTA_P_SUBIDA,84
volume_change_1d,0.036937974926005965,0.036937974926005965,AUMENTA_P_SUBIDA,85
ext_sp500_return_5d,-0.03420341126225446,0.03420341126225446,REDUCE_P_SUBIDA,86
return_2d,-0.031516136917721455,0.031516136917721455,REDUCE_P_SUBIDA,87
range_pct,-0.02609895810179277,0.02609895810179277,REDUCE_P_SUBIDA,88
sentiment_mean_1d,0.026091343922388432,0.026091343922388432,AUMENTA_P_SUBIDA,89
ext_vix_level,0.022427077079796683,0.022427077079796683,AUMENTA_P_SUBIDA,90
sentiment_available_1d,-0.021765801482602844,0.021765801482602844,REDUCE_P_SUBIDA,91
ext_us10y_change_1d,-0.021446654730122812,0.021446654730122812,REDUCE_P_SUBIDA,92
volatility_5d,0.020581164209536425,0.020581164209536425,AUMENTA_P_SUBIDA,93
volume_vs_ma20,-0.017299829563869135,0.017299829563869135,REDUCE_P_SUBIDA,94
sentiment_momentum_10_30,0.01646676176904751,0.01646676176904751,AUMENTA_P_SUBIDA,95
macd,-0.01581811957600644,0.01581811957600644,REDUCE_P_SUBIDA,96
gap_return,-0.01536309922547892,0.01536309922547892,REDUCE_P_SUBIDA,97
sentiment_positive_ratio_10d,-0.014794023713606663,0.014794023713606663,REDUCE_P_SUBIDA,98
ext_vix_change_1d,-0.013649281721251981,0.013649281721251981,REDUCE_P_SUBIDA,99
day_of_week,-0.0109695564610493,0.0109695564610493,REDUCE_P_SUBIDA,100
news_count_10d,-0.01089006728533338,0.01089006728533338,REDUCE_P_SUBIDA,101
return_1d,-0.009871367763142317,0.009871367763142317,REDUCE_P_SUBIDA,102
close_vs_ma_30,-0.006718374438985606,0.006718374438985606,REDUCE_P_SUBIDA,103
intraday_return,-0.006183405724914137,0.006183405724914137,REDUCE_P_SUBIDA,104
return_10d,-0.002746254844111659,0.002746254844111659,REDUCE_P_SUBIDA,105
news_count_5d,-0.0022846177634662382,0.0022846177634662382,REDUCE_P_SUBIDA,106
sentiment_available_30d,0.0,0.0,AUMENTA_P_SUBIDA,107
sentiment_available_20d,0.0,0.0,AUMENTA_P_SUBIDA,108
sentiment_available_45d,0.0,0.0,AUMENTA_P_SUBIDA,109
sentiment_available_60d,0.0,0.0,AUMENTA_P_SUBIDA,110
