date,sentiment_mean,sentiment_positive_ratio,sentiment_negative_ratio,news_count,relevance_weight_sum,sentiment_available,sentiment_source,n_alpha,n_guardian,gdelt_tone
2015-02-12,-0.2887150721133302,0.0,0.3015161429482235,4,2.381823533773422,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-02-13,-0.5997176574527124,0.0,0.6719288819947973,3,1.9220633417367932,1.0,FINBERT_ALPHA_GUARDIAN,0.0,3.0,
2015-02-14,0.0,0.0,0.0,1,0.6722042262554169,1.0,FINBERT_ALPHA_GUARDIAN,0.0,1.0,
2015-02-15,-0.8973577618598938,0.0,1.0,1,0.6281504333019258,1.0,FINBERT_ALPHA_GUARDIAN,0.0,1.0,
2015-02-16,-0.4159681777363462,0.2963332028550949,0.7036667971449051,3,1.9527774006128311,1.0,FINBERT_ALPHA_GUARDIAN,0.0,3.0,
2015-02-17,-0.0108889430101339,0.3343601950695247,0.2516776665556858,5,2.421293114125729,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-02-18,-0.1172188546897461,0.2083569253572946,0.3717702870153872,5,2.677549682557583,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-02-19,0.0,0.0,0.0,4,2.204649925231934,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-02-20,-0.6099906388842717,0.0,0.6609772839026651,5,3.14132239818573,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-02-21,0.341638563566129,0.4772089236791851,0.0,2,1.0501414835453031,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-02-23,-0.6365399284449854,0.0,0.7821330521740615,4,2.224770963191986,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-02-24,0.120360537535291,0.3251208903456219,0.2456477903655833,7,4.080016005039216,1.0,FINBERT_ALPHA_GUARDIAN,0.0,7.0,
2015-02-25,-0.6640506678517643,0.0,0.7942336453486449,5,2.9841632306575776,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-02-26,-0.0564274832793299,0.0839633339441445,0.1291469718207094,8,4.102070066332817,1.0,FINBERT_ALPHA_GUARDIAN,0.0,8.0,
2015-02-27,-0.2105100601397898,0.0,0.2433943504852104,4,2.487424504756928,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-02-28,0.0,0.0,0.0,1,0.643266099691391,1.0,FINBERT_ALPHA_GUARDIAN,0.0,1.0,
2015-03-01,-0.3518656189089351,0.0,0.5553408550675929,2,0.8556947112083435,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-03-02,-0.414193375492195,0.0,0.4678624518610595,5,3.035443246364593,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-03-03,-0.0875227462032231,0.2329524047727532,0.2876172549450064,4,2.1529401719570163,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
2015-03-04,0.1258356725570082,0.3899949456597728,0.2157186763034002,5,3.0552163988351824,1.0,FINBERT_ALPHA_GUARDIAN,0.0,5.0,
2015-03-05,0.1859592679302704,0.2811059442989267,0.0,6,3.4348888128995894,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-03-06,-0.3138701218736839,0.0,0.3499847182816815,6,3.5873046994209288,1.0,FINBERT_ALPHA_GUARDIAN,0.0,6.0,
2015-03-07,-0.5583862338192699,0.0,0.5756979556886616,2,1.474189729988575,1.0,FINBERT_ALPHA_GUARDIAN,0.0,2.0,
2015-03-09,-0.3344091865714345,0.0,0.4556670731118875,4,2.1196620970964437,1.0,FINBERT_ALPHA_GUARDIAN,0.0,4.0,
