accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,variant,model,n_features,strategy_total_return,strategy_sharpe,strategy_max_drawdown,market_exposure
0.5667351129363449,0.5688455657492355,0.7301587301587301,0.5626911314984709,0.6355785837651122,0.6039755351681958,0.6713389263394888,0.24063068445643065,0.6714579055441479,TECHNICAL,LogisticRegression,42,,,,
0.6344969199178645,0.520355504587156,0.6821515892420538,0.8532110091743119,0.7581521739130435,0.5230122324159021,0.6587408921281823,0.23410083057381098,0.6714579055441479,TECHNICAL,RandomForest,42,,,,
0.62217659137577,0.5175649847094801,0.6810126582278481,0.8226299694189603,0.7451523545706371,0.5434441896024466,0.6800054685734924,0.2412271964125967,0.6714579055441479,TECHNICAL,XGBoost,42,,,,
0.6283367556468172,0.5333237767584098,0.6901041666666666,0.8103975535168195,0.7454289732770746,0.558677370030581,0.6499438932611487,0.2301737197922125,0.6714579055441479,TECHNICAL,CLASSICAL_ENSEMBLE,42,0.15041166865990396,0.6683860573608331,-0.13448412841717539,0.406570841889117
0.6776180698151951,0.5780007645259939,0.7135678391959799,0.8685015290519877,0.783448275862069,0.6510703363914373,0.6301163065486661,0.21168391547642296,0.6714579055441479,TECHNICAL_MACRO,LogisticRegression,58,,,,
0.5872689938398358,0.49635894495412847,0.6693548387096774,0.7614678899082569,0.7124463519313304,0.5229166666666667,0.6778960642007336,0.24292587258554396,0.6714579055441479,TECHNICAL_MACRO,RandomForest,58,,,,
0.5585215605749486,0.5212347094801223,0.6866666666666666,0.6299694189602446,0.6570972886762361,0.536104740061162,0.7375461066287692,0.26429371252660433,0.6714579055441479,TECHNICAL_MACRO,XGBoost,58,,,,
0.6776180698151951,0.585980504587156,0.7190721649484536,0.8532110091743119,0.7804195804195804,0.6171253822629971,0.6374840108783104,0.22202774310955803,0.6714579055441479,TECHNICAL_MACRO,CLASSICAL_ENSEMBLE,58,0.256178698289405,0.9447605082226069,-0.15510981069552643,0.5564681724845996
0.6550308008213552,0.5723528287461773,0.7131367292225201,0.8134556574923547,0.76,0.6444762996941896,0.7473832445289881,0.23568368457006836,0.6714579055441479,TECHNICAL_MACRO_NLP,LogisticRegression,110,,,,
0.6344969199178645,0.5267392966360857,0.685785536159601,0.8409785932721713,0.7554945054945055,0.5616781345565749,0.6578446717145296,0.23397556551693235,0.6714579055441479,TECHNICAL_MACRO_NLP,RandomForest,110,,,,
0.6057494866529775,0.5340596330275229,0.6923076923076923,0.7431192660550459,0.7168141592920354,0.5812691131498471,0.6922836158911113,0.2452071945292401,0.6714579055441479,TECHNICAL_MACRO_NLP,XGBoost,110,,,,
0.648870636550308,0.561381880733945,0.7063492063492064,0.8165137614678899,0.7574468085106383,0.638130733944954,0.6439964665915585,0.2254950437096051,0.6714579055441479,TECHNICAL_MACRO_NLP,CLASSICAL_ENSEMBLE,110,0.18834516263921075,0.6890383099737353,-0.18060997284934277,0.6940451745379876
