accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,phase_offset,n_observations,n_positive,n_negative
0.76,0.6587301587301587,0.8,0.8888888888888888,0.8421052631578947,0.746031746031746,0.5560600329905813,0.1852574202796964,0.72,0,25,18,7
0.76,0.6580882352941176,0.7619047619047619,0.9411764705882353,0.8421052631578947,0.7279411764705882,0.5565719554795775,0.1857336852006928,0.68,1,25,17,8
0.68,0.6031746031746031,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.5631991775676635,0.18948202227947417,0.72,2,25,18,7
0.68,0.6333333333333333,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.7399999999999999,0.5993960394574287,0.20598726271495518,0.6,3,25,15,10
0.68,0.6461038961038961,0.65,0.9285714285714286,0.7647058823529411,0.7857142857142857,0.5945627366543608,0.2036627769535484,0.56,4,25,14,11
0.75,0.6666666666666666,0.7142857142857143,1.0,0.8333333333333334,0.762962962962963,0.5719314807589931,0.19216959128588917,0.625,5,24,15,9
0.7916666666666666,0.71875,0.7894736842105263,0.9375,0.8571428571428571,0.6875,0.5734024484579014,0.1929744415898003,0.6666666666666666,6,24,16,8
0.7083333333333334,0.65,0.6666666666666666,1.0,0.8,0.8357142857142856,0.574589486758338,0.1934311297571724,0.5833333333333334,7,24,14,10
0.8333333333333334,0.7563025210084033,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.7815126050420168,0.5501193615094473,0.1790968656191773,0.7083333333333334,8,24,17,7
0.75,0.7,0.7,1.0,0.8235294117647058,0.7714285714285714,0.6028057683983707,0.20372345838642228,0.5833333333333334,9,24,14,10
0.7916666666666666,0.75,0.7368421052631579,1.0,0.8484848484848485,0.7714285714285714,0.6004519049955453,0.2035586761166044,0.5833333333333334,10,24,14,10
0.5833333333333334,0.5428571428571428,0.6111111111111112,0.7857142857142857,0.6875,0.65,0.6498997433029406,0.2291668859139059,0.5833333333333334,11,24,14,10
0.625,0.5785714285714285,0.631578947368421,0.8571428571428571,0.7272727272727273,0.7000000000000001,0.6148996032731802,0.21385004671200566,0.5833333333333334,12,24,14,10
0.6666666666666666,0.5546218487394958,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7142857142857142,0.5861524186695816,0.19901407321623407,0.7083333333333334,13,24,17,7
0.625,0.5444444444444445,0.65,0.8666666666666667,0.7428571428571429,0.6518518518518519,0.6339787291679496,0.22275522063073958,0.625,14,24,15,9
0.7083333333333334,0.5840336134453781,0.75,0.8823529411764706,0.8108108108108109,0.7058823529411765,0.5828266525810132,0.19929471071682361,0.7083333333333334,15,24,17,7
0.7083333333333334,0.5277777777777778,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.7037037037037036,0.5756709056825279,0.19552088136663248,0.75,16,24,18,6
0.6666666666666666,0.5126050420168067,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.6974789915966387,0.5850402327054017,0.20082809567941642,0.7083333333333334,17,24,17,7
0.6666666666666666,0.5126050420168067,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.6134453781512605,0.5927768497467528,0.20490011703243108,0.7083333333333334,18,24,17,7
0.625,0.4831932773109243,0.7,0.8235294117647058,0.7567567567567568,0.6638655462184874,0.5847450321046176,0.20069865521353325,0.7083333333333334,19,24,17,7
