model,cv_rmse,cv_mae,cv_mape_pct,cv_r2,cv_direction_accuracy,holdout_rmse,holdout_mae,holdout_mape_pct,holdout_r2,holdout_direction_accuracy,eligible_for_final_selection,selected_by_cv
XGBRegressor,3.3028598963809515,2.4276183172118624,0.74315644053854,0.9669518551718633,0.5581538461538461,5.611554694134753,3.826271489053823,0.6634810697428255,0.98176491944429,0.5541922290388548,True,True
RandomForestRegressor,3.357964372788973,2.475419553462434,0.7556027760213598,0.9659946483650804,0.5126153846153846,5.640880397186354,3.8552072887750093,0.668823414817668,0.9815738302035426,0.5194274028629857,True,False
ENSEMBLE_REGRESSION,3.5993021797537423,2.6854023679149286,0.8445705399640442,0.9584099389850721,0.5163076923076924,5.614155768987894,3.870475147267306,0.671505098745456,0.9817480108317366,0.5214723926380368,True,False
Ridge,6.311044311857393,4.683158847335671,1.6035263243417048,0.8082152625421593,0.5163076923076922,6.037346721469151,4.41535042793104,0.7663219299524248,0.9788926592405752,0.5214723926380368,False,False
