accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,phase_offset,n_observations,n_positive,n_negative
0.6122448979591837,0.5304659498207885,0.65,0.8387096774193549,0.7323943661971831,0.532258064516129,0.6640996264333204,0.23598530375421764,0.6326530612244898,0,49,31,18
0.6326530612244898,0.5698924731182795,0.6756756756756757,0.8064516129032258,0.7352941176470589,0.5770609318996416,0.6559631774868095,0.23243421503950906,0.6326530612244898,1,49,31,18
0.5918367346938775,0.5082720588235294,0.6578947368421053,0.78125,0.7142857142857143,0.5036764705882353,0.6778549524301791,0.24265733790625224,0.6530612244897959,2,49,32,17
0.5510204081632653,0.49372759856630827,0.6285714285714286,0.7096774193548387,0.6666666666666666,0.48924731182795694,0.6988487735422723,0.25196361379703325,0.6326530612244898,3,49,31,18
0.5510204081632653,0.4734848484848485,0.6571428571428571,0.696969696969697,0.6764705882352942,0.4943181818181819,0.6801510462290835,0.2436281648243232,0.673469387755102,4,49,33,16
0.5102040816326531,0.4698275862068966,0.5714285714285714,0.6896551724137931,0.625,0.4827586206896552,0.7040169819897099,0.2553671627140421,0.5918367346938775,5,49,29,20
0.5714285714285714,0.5149122807017544,0.6216216216216216,0.7666666666666667,0.6865671641791045,0.5912280701754387,0.651909022127301,0.23125357609471384,0.6122448979591837,6,49,30,19
0.6041666666666666,0.547438330170778,0.6764705882352942,0.7419354838709677,0.7076923076923077,0.605313092979127,0.6466447824990565,0.22882476885850492,0.6458333333333334,7,48,31,17
0.5208333333333334,0.4722222222222222,0.6060606060606061,0.6666666666666666,0.6349206349206349,0.5111111111111111,0.6900042977617713,0.24919928315596077,0.625,8,48,30,18
0.5833333333333334,0.5281306715063521,0.6216216216216216,0.7931034482758621,0.696969696969697,0.5789473684210527,0.6625633982571651,0.2360621262803458,0.6041666666666666,9,48,29,19
