accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,variant,model,n_features,strategy_total_return,strategy_sharpe,strategy_max_drawdown,market_exposure
0.488659793814433,0.49632809851994125,0.6521739130434783,0.4716981132075472,0.5474452554744526,0.5374157345685987,0.7038800912938771,0.25384185372296014,0.6556701030927835,TECHNICAL,LogisticRegression,42,,,,
0.668041237113402,0.5606146198169698,0.6873508353221957,0.9056603773584906,0.7815468113975577,0.7194290663955107,0.5943752766678563,0.20479238097803287,0.6556701030927835,TECHNICAL,RandomForest,42,,,,
0.6474226804123712,0.5761684178812188,0.7013698630136986,0.8050314465408805,0.7496339677891655,0.6481376868903702,0.6172647009835694,0.2142722962878866,0.6556701030927835,TECHNICAL,XGBoost,42,,,,
0.6783505154639176,0.5969099536775506,0.7109375,0.8584905660377359,0.7777777777777778,0.6682672391066923,0.6116940649234307,0.21179223846452372,0.6556701030927835,TECHNICAL,CLASSICAL_ENSEMBLE,42,0.1438678196183576,0.5916504824216376,-0.1400127672886713,0.43917525773195876
0.643298969072165,0.5175780514442813,0.6643990929705216,0.9213836477987422,0.7720685111989459,0.6782661092908524,0.6816961840572405,0.22125820826200937,0.6556701030927835,TECHNICAL_MACRO,LogisticRegression,58,,,,
0.6742268041237114,0.5852351899973638,0.7030456852791879,0.8710691823899371,0.7780898876404494,0.6964938048431439,0.6061320625027621,0.20914680070294203,0.6556701030927835,TECHNICAL_MACRO,RandomForest,58,,,,
0.6288659793814433,0.5847644333973562,0.7129629629629629,0.7264150943396226,0.719626168224299,0.6637291454826197,0.6608483371530885,0.23429173450633617,0.6556701030927835,TECHNICAL_MACRO,XGBoost,58,,,,
0.6597938144329897,0.5514819417768237,0.6825775656324582,0.89937106918239,0.7761194029850746,0.7109931081233759,0.5754045505401281,0.19844425069896832,0.6556701030927835,TECHNICAL_MACRO,CLASSICAL_ENSEMBLE,58,0.38068522055369214,1.1132889898538503,-0.2019605803551051,0.6103092783505155
0.6536082474226804,0.536813166120589,0.6744186046511628,0.9119496855345912,0.7754010695187166,0.6327910217301246,0.7362106299926311,0.2377208585994134,0.6556701030927835,TECHNICAL_MACRO_NLP,LogisticRegression,110,,,,
0.6721649484536083,0.660433849282567,0.7789473684210526,0.6981132075471698,0.736318407960199,0.6848943622189583,0.6229551384617753,0.2165311079140785,0.6556701030927835,TECHNICAL_MACRO_NLP,RandomForest,110,,,,
0.6701030927835051,0.6034158098896547,0.7182320441988951,0.8176100628930818,0.7647058823529411,0.6761006289308178,0.6240907541034416,0.2135574165199987,0.6556701030927835,TECHNICAL_MACRO_NLP,XGBoost,110,,,,
0.6762886597938145,0.575434037585207,0.6958637469586375,0.89937106918239,0.7846364883401921,0.6954393100591271,0.5908483520987283,0.2030115242839032,0.6556701030927835,TECHNICAL_MACRO_NLP,CLASSICAL_ENSEMBLE,110,0.37016807758325276,1.0707900479784558,-0.2072762036368775,0.6536082474226804
