model,sin_accuracy,con_accuracy,delta_accuracy,sin_balanced_accuracy,con_balanced_accuracy,delta_balanced_accuracy,sin_f1,con_f1,delta_f1,sin_roc_auc,con_roc_auc,delta_roc_auc,sin_log_loss,con_log_loss,delta_log_loss,sin_brier,con_brier,delta_brier
LogisticRegression,0.69375,0.6916666666666667,-0.002083333333333326,0.5033783783783784,0.5093617714099642,0.005983393031585793,0.8187422934648582,0.8154613466334164,-0.0032809468314417556,0.837410452621296,0.8350903614457833,-0.002320091175512684,0.8876953622322946,0.9287247847154795,0.04102942248318486,0.24537582568453378,0.24078042185515536,-0.004595403829378425
RandomForest,0.7041666666666667,0.7104166666666667,0.006249999999999978,0.5408661673721915,0.569724845327255,0.028858677955063472,0.8188775510204082,0.8173455978975033,-0.0015319531229048833,0.7602572451970043,0.7426123412569194,-0.01764490394008489,0.555959400376148,0.5671643727368215,0.011204972360673526,0.18821768120986448,0.19093672599127662,0.0027190447814121332
XGBoost,0.6958333333333333,0.7083333333333334,0.012500000000000067,0.6190980136763269,0.607538261152719,-0.011559752523607858,0.7884057971014493,0.8050139275766016,0.016608130475152305,0.7862666883751221,0.7885664278736567,0.00229973949853457,0.6318970319759145,0.5562742699658109,-0.07562276201010365,0.21969181288190856,0.19173635439719,-0.02795545848471856
LSTM,0.48541666666666666,0.3729166666666667,-0.11249999999999999,0.6205226310647998,0.5279632041680234,-0.09255942689677632,0.4188235294117647,0.21409921671018275,-0.20472431270158195,0.5974845327254965,0.633893682839466,0.0364091501139695,0.7055992646420101,0.7441868995649991,0.038587634922989,0.2561676216553256,0.27493476957519863,0.01876714791987305
ENSEMBLE,0.6854166666666667,0.70625,0.02083333333333337,0.5067160534028003,0.5255210029306414,0.018804949527841064,0.8105395232120451,0.8244084682440846,0.013868945032039504,0.8331162487788994,0.8346426245522632,0.0015263757733637862,0.5307742466782722,0.5269982531179419,-0.003775993560330315,0.18145001769204197,0.1762354491999066,-0.005214568492135363
