model,rmse,mae,mape_pct,r2,direction_accuracy
RandomForestRegressor,11.582802672564634,8.822912217072155,2.637398298503617,0.6444166077784654,0.530030959752322
XGBRegressor,12.738681913874853,9.858189683139171,2.911949208778222,0.6202384842093234,0.5380804953560372
ENSEMBLE_REGRESSION,13.05782392385997,10.07912640403493,3.0609580361528024,0.54198353449179,0.5269349845201238
Ridge,23.476904622046433,18.368577156952483,5.9254275666122975,-1.2229534418388532,0.5226006191950465
