accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,brier,positive_rate,phase_offset,n_observations,n_positive,n_negative
0.6363636363636364,0.5130434782608696,0.7037037037037037,0.8260869565217391,0.76,0.6130434782608696,0.6155085606633056,0.21418084215305086,0.696969696969697,0,33,23,10
0.5454545454545454,0.4097222222222222,0.68,0.7083333333333334,0.6938775510204082,0.6018518518518519,0.6070892658201134,0.2112825049509832,0.7272727272727273,1,33,24,9
0.5151515151515151,0.43181818181818177,0.625,0.6818181818181818,0.6521739130434783,0.5495867768595042,0.6514208486387116,0.23193086481709413,0.6666666666666666,2,33,22,11
0.5454545454545454,0.4195652173913043,0.6538461538461539,0.7391304347826086,0.6938775510204082,0.5043478260869565,0.64537285505141,0.2287550339662824,0.696969696969697,3,33,23,10
0.5151515151515151,0.3695652173913043,0.6296296296296297,0.7391304347826086,0.68,0.42608695652173917,0.6686813762147648,0.24014093605270637,0.696969696969697,4,33,23,10
0.5757575757575758,0.44130434782608696,0.6666666666666666,0.782608695652174,0.72,0.5086956521739131,0.6532752065322204,0.23174490569873146,0.696969696969697,5,33,23,10
0.65625,0.5432900432900433,0.6785714285714286,0.9047619047619048,0.7755102040816326,0.5151515151515151,0.6528525989121399,0.23098341624724272,0.65625,6,32,21,11
0.59375,0.474025974025974,0.6428571428571429,0.8571428571428571,0.7346938775510204,0.6883116883116883,0.6032662633399566,0.20888653821580438,0.65625,7,32,21,11
0.6875,0.5272727272727273,0.7,0.9545454545454546,0.8076923076923077,0.7045454545454546,0.5736935937410594,0.19530762248215738,0.6875,8,32,22,10
0.6875,0.5670995670995671,0.6896551724137931,0.9523809523809523,0.8,0.670995670995671,0.6046712010869357,0.20854811803376538,0.65625,9,32,21,11
0.6875,0.5670995670995671,0.6896551724137931,0.9523809523809523,0.8,0.696969696969697,0.5847284661334272,0.1995237378982653,0.65625,10,32,21,11
0.65625,0.5583333333333333,0.6551724137931034,0.95,0.7755102040816326,0.6708333333333333,0.6206266702015066,0.21676395083634376,0.625,11,32,20,12
0.59375,0.5083333333333333,0.6296296296296297,0.85,0.723404255319149,0.6083333333333334,0.6294483828621006,0.2209258045948062,0.625,12,32,20,12
0.625,0.562753036437247,0.6296296296296297,0.8947368421052632,0.7391304347826086,0.6923076923076923,0.6336048010541939,0.22267087049604933,0.59375,13,32,19,13
0.5625,0.4979757085020243,0.5925925925925926,0.8421052631578947,0.6956521739130435,0.534412955465587,0.677729574209838,0.24372612132414434,0.59375,14,32,19,13
