model,sin_accuracy,con_accuracy,delta_accuracy,sin_balanced_accuracy,con_balanced_accuracy,delta_balanced_accuracy,sin_f1,con_f1,delta_f1,sin_roc_auc,con_roc_auc,delta_roc_auc,sin_log_loss,con_log_loss,delta_log_loss,sin_brier,con_brier,delta_brier
LogisticRegression,0.6481481481481481,0.6234567901234568,-0.024691358024691357,0.5414899257688229,0.5198644144826542,-0.02162551128616874,0.7660738714090287,0.7468879668049793,-0.019185904604049453,0.6423079836388426,0.5996061202848053,-0.04270186335403725,0.6876848450453841,0.7215623173070377,0.03387747226165361,0.22557837573305306,0.2409690011687511,0.015390625435698052
RandomForest,0.6419753086419753,0.6111111111111112,-0.030864197530864113,0.545807453416149,0.5344834116043023,-0.011324041811846652,0.7569832402234636,0.724087591240876,-0.03289564898258768,0.6306052113316165,0.6098697167095894,-0.020735494622027062,0.6328948472398387,0.6393694028593336,0.006474555619494948,0.221613943788579,0.22440696490607767,0.002793021117498684
XGBoost,0.5925925925925926,0.5761316872427984,-0.016460905349794164,0.5474359945462809,0.5035979397061052,-0.043838054840175666,0.690625,0.6943620178041543,0.0037370178041542523,0.605836236933798,0.5545940009089532,-0.05124223602484479,0.6698326902828585,0.680042028683835,0.010209338400976486,0.23907265258304441,0.24379707256012909,0.004724419977084671
LSTM,0.3374485596707819,0.5679012345679012,0.2304526748971193,0.5,0.5138425996061202,0.01384259960612022,0.0,0.6759259259259259,0.6759259259259259,0.4884865929404635,0.5218906226329343,0.033404029692470805,0.7339807202275771,0.7592473679250938,0.025266647697516742,0.2702964941806833,0.2725762911473558,0.0022797969666725204
ENSEMBLE,0.6563786008230452,0.6049382716049383,-0.05144032921810693,0.5462051204362975,0.49242539009241026,-0.05377973034388728,0.7734056987788331,0.7377049180327869,-0.03570078074604621,0.6445993031358884,0.6029010755946069,-0.041698227541281496,0.6041031460944308,0.6282806118841447,0.024177465789713914,0.20980329921823412,0.22043192521851135,0.010628626000277225
