model,cv_rmse,cv_mae,cv_mape_pct,cv_r2,cv_direction_accuracy,holdout_rmse,holdout_mae,holdout_mape_pct,holdout_r2,holdout_direction_accuracy,eligible_for_final_selection,selected_by_cv
RandomForestRegressor,38.06718339720551,31.397413871074185,5.157603042490703,0.5798546961976296,0.5512499999999999,60.844014962936235,43.30771541207181,3.8809996139055745,0.6548685975288171,0.6701030927835051,True,True
ENSEMBLE_REGRESSION,43.760478381482756,36.89089051663797,5.994400125226933,0.4461356945355234,0.49499999999999994,64.72503561779429,46.14568562432712,4.167856813436148,0.6094349806006962,0.6556701030927835,True,False
XGBRegressor,45.761328997718124,38.6863665525689,6.17308165563488,0.46597852230101083,0.55,62.58387815434376,43.10720893479109,3.8693552605084394,0.6348479940913805,0.6371134020618556,True,False
Ridge,63.23539244863173,51.8842094390605,8.874430555214733,-0.5353640972428033,0.5125,101.4474421634096,85.62447380419327,7.70791547469435,0.040530993845562024,0.6474226804123712,False,False
